2024-03-11 22:40:32 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2024-03-11 22:40:32 0 [Note] InnoDB: Number of pools: 1
2024-03-11 22:40:32 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
2024-03-11 22:40:32 0 [Note] InnoDB: Initializing buffer pool, total size = 16777216, chunk size = 16777216
2024-03-11 22:40:32 0 [Note] InnoDB: Completed initialization of buffer pool
2024-03-11 22:40:32 0 [Note] InnoDB: Setting log file C:/xampp/mysql/data/ib_logfile101 size to 5242880 bytes
2024-03-11 22:40:32 0 [Note] InnoDB: Renaming log file C:/xampp/mysql/data/ib_logfile101 to C:/xampp/mysql/data/ib_logfile0
2024-03-11 22:40:32 0 [Note] InnoDB: New log file created, LSN=139827
2024-03-11 22:40:32 0 [Note] InnoDB: 128 rollback segments are active.
2024-03-11 22:40:32 0 [Note] InnoDB: Creating shared tablespace for temporary tables
2024-03-11 22:40:32 0 [Note] InnoDB: Setting file 'C:/xampp/mysql/data/ibtmp1' size to 12 MB. Physically writing the file full; Please wait ...
2024-03-11 22:40:32 0 [Note] InnoDB: File 'C:/xampp/mysql/data/ibtmp1' size is now 12 MB.
2024-03-11 22:40:32 0 [Note] InnoDB: 10.6.7 started; log sequence number 0; transaction id 218
2024-03-11 22:40:32 0 [Note] Plugin 'FEEDBACK' is disabled.
2024-03-11 22:40:32 0 [Note] InnoDB: Loading buffer pool(s) from C:\xampp\mysql\data/ib_buffer_pool
2024-03-11 22:40:32 0 [Note] InnoDB: Cannot open 'C:\xampp\mysql\data/ib_buffer_pool' for reading: No such file or directory
2024-03-11 22:40:32 0 [Note] Zerofilling moved table:  '.\mysql\plugin'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\servers'
2024-03-11 22:40:33 0 [Note] Server socket created on IP: '::'.
2024-03-11 22:40:33 0 [Note] Server socket created on IP: '0.0.0.0'.
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\db'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\proxies_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\roles_mapping'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\global_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_leap_second'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_name'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_transition_type'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_transition'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\tables_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\columns_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\procs_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\func'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\event'
2024-03-11 22:40:33 0 [ERROR] Incorrect definition of table mysql.event: expected column 'definer' at position 3 to have type varchar(, found type char(141).
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=334] with future log sequence number 302401
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=196] with future log sequence number 302357
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=333] with future log sequence number 302357
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=195] with future log sequence number 302313
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=332] with future log sequence number 302313
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=194] with future log sequence number 302269
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=331] with future log sequence number 302269
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=193] with future log sequence number 302183
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=330] with future log sequence number 302183
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=192] with future log sequence number 302097
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=329] with future log sequence number 302097
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=63] with future log sequence number 302037
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=328] with future log sequence number 302037
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=62] with future log sequence number 301998
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=327] with future log sequence number 301998
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=61] with future log sequence number 301959
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=326] with future log sequence number 301959
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=60] with future log sequence number 301920
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=325] with future log sequence number 301920
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=59] with future log sequence number 301881
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=324] with future log sequence number 301881
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=58] with future log sequence number 301842
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=323] with future log sequence number 301842
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=57] with future log sequence number 301803
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=321] with future log sequence number 301803
